event_id,user_id,persona,ueba_risk_score,ueba_finding_type,threat_hypothesis,threat_confidence,attack_stage,compliance_control_id,compliance_status,human_review_recommended
evt_test_00276,u_normal_sql_001,normal_sql_user,100.0,unusual_authentication,Possible credential misuse or suspicious login context,high,initial_access,SF-AUTH-002,non_compliant,True
evt_test_00277,u_normal_sql_001,normal_sql_user,99.95,unusual_data_access_or_export,Possible data staging or exfiltration through Salesforce export activity,high,collection_or_exfiltration,SF-DATA-003,needs_review,True
evt_test_00278,u_normal_sql_001,normal_sql_user,100.0,unusual_authentication,Possible malicious OAuth consent or connected-app abuse,high,credential_access,SF-AUTH-002,non_compliant,True
evt_test_00279,u_normal_sql_001,normal_sql_user,100.0,unusual_authentication,Possible credential misuse or suspicious login context,high,initial_access,SF-AUTH-002,non_compliant,True
evt_test_00280,u_normal_sql_001,normal_sql_user,99.96,unusual_data_access_or_export,Possible data staging or exfiltration through Salesforce export activity,high,collection_or_exfiltration,SF-DATA-003,needs_review,True
evt_test_00281,u_normal_sql_001,normal_sql_user,100.0,unusual_authentication,Possible malicious OAuth consent or connected-app abuse,high,credential_access,SF-AUTH-002,non_compliant,True
evt_test_00282,u_normal_sql_001,normal_sql_user,100.0,unusual_authentication,Possible credential misuse or suspicious login context,high,initial_access,SF-AUTH-002,non_compliant,True
evt_test_00283,u_normal_sql_001,normal_sql_user,99.96,unusual_data_access_or_export,Possible data staging or exfiltration through Salesforce export activity,high,collection_or_exfiltration,SF-DATA-003,needs_review,True
evt_test_00559,u_sales_traveler_002,traveling_sales_rep,100.0,unusual_authentication,Possible credential misuse or suspicious login context,high,initial_access,SF-ACCESS-001,needs_review,True
evt_test_00561,u_sales_traveler_002,traveling_sales_rep,100.0,unusual_data_access_or_export,Possible data staging or exfiltration through Salesforce export activity,high,collection_or_exfiltration,SF-DATA-003,needs_review,True
evt_test_00562,u_sales_traveler_002,traveling_sales_rep,100.0,unusual_authentication,Possible credential misuse or suspicious login context,high,initial_access,SF-ACCESS-001,needs_review,True
evt_test_00564,u_sales_traveler_002,traveling_sales_rep,100.0,unusual_data_access_or_export,Possible data staging or exfiltration through Salesforce export activity,high,collection_or_exfiltration,SF-DATA-003,needs_review,True
evt_test_00565,u_sales_traveler_002,traveling_sales_rep,100.0,unusual_authentication,Possible credential misuse or suspicious login context,high,initial_access,SF-ACCESS-001,needs_review,True
evt_test_00566,u_sales_traveler_002,traveling_sales_rep,67.11,unusual_authentication,Possible credential misuse or suspicious login context,medium,initial_access,SF-ACCESS-001,needs_review,False
evt_test_00808,u_nightowl_noah_003,nightowl_engineer,80.0,behavioral_anomaly,Possible data staging or exfiltration through Salesforce export activity,medium,collection_or_exfiltration,SF-ACCESS-001,needs_review,True
